freq,stage1_db,stage1_deg,stage2_db,stage2_deg,stage3_db,stage3_deg
1.07151930523760e+03,-3.33205486488505e+01,-1.63291791861502e+02,-6.64519611803213e+01,2.87228673850164e+01,-9.94398776147756e+01,-1.47411284931866e+02
1.09647819614318e+03,-3.37122225749795e+01,-1.63680569843327e+02,-6.72434714431914e+01,2.80515517905318e+01,-1.00640043586753e+02,-1.48229767028964e+02
1.12201845430196e+03,-3.41042736065125e+01,-1.64061667120255e+02,-6.80353751808566e+01,2.73944085263906e+01,-1.01840304346561e+02,-1.49034218773620e+02
1.14815362149688e+03,-3.44966858475709e+01,-1.64435290096738e+02,-6.88276551053267e+01,2.67510581593385e+01,-1.03040659701180e+02,-1.49825301654563e+02
1.17489755493952e+03,-3.48894440730595e+01,-1.64801645746696e+02,-6.96202947255199e+01,2.61211250963706e+01,-1.04241109437366e+02,-1.50603684628327e+02
1.20226443461741e+03,-3.52825337026971e+01,-1.65160941780046e+02,-7.04132783102811e+01,2.55042372184874e+01,-1.05441653297783e+02,-1.51370045699963e+02
1.23026877081237e+03,-3.56759407756400e+01,-1.65513386830096e+02,-7.12065908529570e+01,2.49000254990099e+01,-1.06642290952825e+02,-1.52125073582848e+02
1.25892541179416e+03,-3.60696519256709e+01,-1.65859190662438e+02,-7.20002180374175e+01,2.43081236053660e+01,-1.07843021967504e+02,-1.52869469444765e+02
1.28824955169313e+03,-3.64636543569206e+01,-1.66198564406046e+02,-7.27941462054131e+01,2.37281674831655e+01,-1.09043845762666e+02,-1.53603948747758e+02
1.31825673855640e+03,-3.68579358200841e+01,-1.66531720807409e+02,-7.35883623251567e+01,2.31597949212766e+01,-1.10244761569688e+02,-1.54329243189628e+02
1.34896288259165e+03,-3.72524845890838e+01,-1.66858874508616e+02,-7.43828539610221e+01,2.26026450965127e+01,-1.11445768377694e+02,-1.55046102755302e+02
1.38038426460288e+03,-3.76472894381294e+01,-1.67180242350438e+02,-7.51776092442427e+01,2.20563580964223e+01,-1.12646864872159e+02,-1.55755297886651e+02
1.41253754462275e+03,-3.80423396191106e+01,-1.67496043701555e+02,-7.59726168444991e+01,2.15205744185576e+01,-1.13848049363605e+02,-1.56457621779746e+02
